date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:02	4120/4120	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/js/alistamento.js	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/js/alistamento.js	(from https://alistamento.eb.mil.br/alistamento-feminino)
00:47:03	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2006%20Sep%202025%2003:47:03%20GMT	https://alistamento.eb.mil.br/oauth2/authorization/govbr	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/oauth2/authorization/govbr.1d.delayed	(from https://alistamento.eb.mil.br/lista-servicos)
00:47:03	0/-1	---M--	302	error ('')			https://alistamento.eb.mil.br/oauth2/authorization/govbr	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/oauth2/authorization/govbr.1e.delayed	(from https://alistamento.eb.mil.br/lista-servicos)
00:47:03	0/-1	---M--	302	error ('')			https://alistamento.eb.mil.br/oauth2/authorization/govbr	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/oauth2/authorization/govbr.1f.delayed	(from https://alistamento.eb.mil.br/lista-servicos)
00:47:06	8043/8043	---M--	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2003:47:05%20GMT	https://alistamento.eb.mil.br/servico/jsm	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/servico/jsm.html	(from https://alistamento.eb.mil.br/lista-servicos)
00:47:07	8443/8443	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2003:47:06%20GMT	https://alistamento.eb.mil.br/servico/autenticacao	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/servico/autenticacao.html	(from https://alistamento.eb.mil.br/lista-servicos)
00:47:07	8250/8250	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2003:47:06%20GMT	https://alistamento.eb.mil.br/help/exterior	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/help/exterior.html	(from https://alistamento.eb.mil.br/alistamento)
00:47:08	8311/8311	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2003:47:07%20GMT	https://alistamento.eb.mil.br/help/deficiencia	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/help/deficiencia.html	(from https://alistamento.eb.mil.br/alistamento)
00:47:08	8247/8247	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2003:47:07%20GMT	https://alistamento.eb.mil.br/help/feminino	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/help/feminino.html	(from https://alistamento.eb.mil.br/alistamento)
00:47:08	0/-1	---M--	302	error ('')			https://alistamento.eb.mil.br/oauth2/authorization/govbr	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/oauth2/authorization/govbr.25.delayed	(from https://alistamento.eb.mil.br/alistamento)
00:47:09	182773/182773	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/lib/datatables/datatables.min.js	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/lib/datatables/datatables.min.js	(from https://alistamento.eb.mil.br/servico/jsm)
00:47:09	72977/72977	---MC-	200	added ('OK')	text/html	date:Sat,%2006%20Sep%202025%2003:47:09%20GMT	https://alistamento.eb.mil.br/servico/jsm/reparticoesConsulares	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/servico/jsm/reparticoesConsulares.html	(from https://alistamento.eb.mil.br/help/exterior)
00:47:10	61275/61275	---M--	200	added ('OK')	application/pdf	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/pdf/requerimento-deficiencia.pdf	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/pdf/requerimento-deficiencia.pdf	(from https://alistamento.eb.mil.br/help/deficiencia)
00:47:10	60287/60287	---M--	200	added ('OK')	application/pdf	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/pdf/atestado-deficiencia.pdf	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/pdf/atestado-deficiencia.pdf	(from https://alistamento.eb.mil.br/help/deficiencia)
